PScore_7001,Weight_7001,MatchId,Id,锘縄D,patchSetNum,changeId,orderTime,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,Overall
0.152526715328305,1,17444,36,36,1,627,2016-11-16 11:44:00,2016-11-16 10:56:00,2016-11-16 11:15:00,0,2,2,25,2,3,2,1
0.23788472587676046,1,38,37,37,2,627,2016-11-16 12:18:00,2016-11-16 10:56:00,2016-11-16 11:25:00,0,2,2,36,3,7,2,1
0.23788472587676046,1,37,38,38,2,627,2016-11-16 16:21:00,2016-11-16 10:56:00,2016-11-16 11:25:00,4,2,2,36,3,7,2,0
0.1522763214409386,1,22520,39,39,1,628,2016-11-16 16:05:00,2016-11-16 16:01:00,2016-11-16 16:01:00,0,2,1,28,1,2,1,0
0.15533333545361414,1,11543,40,40,1,629,2016-11-16 15:59:00,2016-11-16 15:56:00,2016-11-16 15:56:00,0,2,1,2,3,5,1,0
0.11868815732006346,1,7421,41,41,1,630,2016-11-16 15:47:00,2016-11-16 15:42:00,2016-11-16 15:43:00,0,2,1,2,4,5,1,0
0.16595555451430527,1,21801,42,42,4,631,2016-11-16 15:44:00,2016-11-15 10:32:00,2016-11-16 15:09:00,0,2,9,145,3,4,4,0
0.20106451988212126,1,22373,43,43,2,632,2016-11-16 15:28:00,2016-11-08 17:15:00,2016-11-16 15:26:00,0,2,5,31,3,6,2,0
0.14051499722363403,1,1041,44,44,2,633,2016-11-16 15:09:00,2016-11-15 09:21:00,2016-11-15 09:49:00,29,2,1,2,3,4,2,0
0.23232743706648953,0,,45,45,6,634,2016-11-16 15:09:00,2016-09-21 06:30:00,2016-11-16 08:46:00,6,2,68,3937,3,5,6,0
0.14028926477799195,0,,46,46,1,635,2016-11-16 14:46:00,2016-11-16 14:40:00,2016-11-16 14:40:00,0,2,1,7,2,3,1,0
0.15537797982158233,0,,47,47,1,636,2016-11-16 14:20:00,2016-11-16 13:53:00,2016-11-16 13:53:00,0,2,6,12,3,5,1,0
0.2304234633072595,0,,48,48,2,637,2016-11-16 10:09:00,2016-11-15 10:22:00,2016-11-16 10:00:00,0,2,15,781,1,3,4,0
0.19814551283662465,0,,49,49,4,637,2016-11-16 13:43:00,2016-11-15 10:22:00,2016-11-16 13:35:00,0,2,15,793,3,5,4,0
0.19814551283662465,0,,50,50,4,637,2016-11-16 14:16:00,2016-11-15 10:22:00,2016-11-16 13:35:00,0,2,15,793,3,5,4,0
0.19814551283662465,0,,51,51,4,637,2016-11-16 14:16:00,2016-11-15 10:22:00,2016-11-16 13:35:00,0,2,15,793,3,5,4,0
0.2522976627564485,1,53,52,52,1,637,2016-11-15 10:31:00,2016-11-15 10:22:00,2016-11-15 10:22:00,0,2,15,781,2,5,4,1
0.25230014768265985,1,52,53,53,3,637,2016-11-16 10:47:00,2016-11-15 10:22:00,2016-11-16 10:39:00,0,2,15,793,2,5,4,0
0.1525712681748188,0,,54,54,2,638,2016-11-16 14:12:00,2016-11-16 14:02:00,2016-11-16 14:08:00,0,2,6,99,2,3,2,0
0.11872374986688206,0,,55,55,1,639,2016-11-16 14:11:00,2016-11-16 13:13:00,2016-11-16 13:13:00,0,2,6,12,4,5,1,0
0.1553422634896419,0,,56,56,1,640,2016-11-16 13:55:00,2016-11-16 13:38:00,2016-11-16 13:38:00,0,2,2,4,3,5,1,0
0.1407476710409597,0,,57,57,3,641,2016-11-16 13:49:00,2016-11-15 17:35:00,2016-11-15 20:37:00,17,2,1,47,4,5,3,0
