"timestampdiff(HOUR, t_revision.rev_createdTime, t_revision.rev_committedTime)","rev_patchSetNum","rev_changeId"
"0","1","393"
"3","1","394"
"3","1","395"
"3","1","396"
"11","1","397"
"11","1","398"
"12","1","399"
"13","1","400"
"13","1","401"
"13","1","402"
"13","1","403"
"14","1","404"
"27","1","405"
"28","1","406"
"32","1","407"
"32","1","408"
"32","1","409"
"32","1","410"
"32","1","411"
"32","1","412"
"34","1","413"
"3","1","414"
"3","1","415"
"0","1","416"
"0","1","417"
"0","1","418"
"0","1","419"
"0","1","420"
"0","1","421"
"0","1","422"
"0","1","423"
"0","1","424"
"0","1","425"
"0","1","426"
"0","1","427"
"0","1","428"
"0","1","429"
"0","1","430"
"0","1","431"
"1","1","432"
"0","1","433"
"0","1","434"
"0","1","435"
"0","1","436"
"0","1","437"
"0","1","438"
"0","1","439"
"1","1","440"
"2","1","441"
"23","1","442"
"0","1","443"
"0","1","444"
"25","1","445"
"0","1","446"
"0","1","447"
"0","1","448"
"4","1","449"
"4","1","450"
"7","1","451"
"0","1","452"
"0","1","453"
"0","1","454"
"124","1","455"
"0","1","456"
"0","1","457"
"0","1","458"
"0","1","459"
"0","1","460"
"319","1","461"
"0","1","462"
"0","1","463"
"0","1","464"
"0","1","465"
"0","1","466"
"0","1","467"
"497","1","469"
"248","1","470"
"0","1","471"
"0","1","472"
"28","1","473"
"0","1","474"
"0","1","475"
"0","1","476"
"0","1","477"
"0","1","478"
"0","1","479"
"0","1","480"
"0","1","481"
"0","1","482"
"0","1","483"
"0","1","484"
"0","1","485"
"0","1","486"
"0","1","487"
"0","1","488"
"0","1","489"
"0","1","490"
"196","1","491"
"1","1","492"
"0","1","493"
"0","1","494"
"0","1","495"
"1","1","496"
"0","1","497"
"1","1","498"
"0","1","499"
"0","1","500"
"0","1","501"
"0","1","502"
"0","1","503"
"0","1","504"
"0","1","505"
"0","1","506"
"1","1","507"
"1","1","508"
"0","1","509"
"2315","1","510"
"9","1","511"
"16","1","512"
"0","1","513"
"0","1","514"
"0","1","515"
"0","1","516"
"0","1","517"
"0","1","518"
"0","1","519"
"0","1","520"
"0","1","521"
"0","1","522"
"0","1","523"
"0","1","524"
"1","1","525"
"0","1","526"
"17","1","527"
"0","1","528"
"0","1","529"
"0","1","530"
"0","1","531"
"0","1","532"
"0","1","533"
"0","1","534"
"0","1","535"
"0","1","536"
"35","1","537"
"35","1","538"
"35","1","539"
"35","1","540"
"35","1","541"
"35","1","542"
"0","1","543"
"1","1","544"
"12","1","545"
"0","1","546"
"0","1","547"
"0","1","548"
"0","1","549"
"0","1","550"
"0","1","551"
"0","1","552"
"0","1","553"
"0","1","554"
"0","1","555"
"0","1","556"
"0","1","558"
"0","1","559"
"0","1","560"
"0","1","561"
"0","1","562"
"0","1","563"
"0","1","564"
"0","1","565"
"0","1","566"
"0","1","567"
"8","1","568"
"0","1","569"
"91","1","570"
"35","1","571"
"0","1","572"
"0","1","573"
"0","1","574"
"0","1","575"
"0","1","576"
"0","1","577"
"0","1","578"
"0","1","579"
"0","1","580"
"0","1","581"
"0","1","582"
"0","1","583"
"0","1","584"
"0","1","585"
"0","1","586"
"0","1","587"
"0","1","588"
"6","1","589"
"0","1","590"
"0","1","591"
"2","1","592"
"0","1","593"
"0","1","594"
"70","1","595"
"17","1","596"
"0","1","597"
"0","1","598"
"0","1","599"
"6","1","600"
"6","1","601"
"0","1","602"
"10","1","603"
"11","1","604"
"28","1","605"
"28","1","606"
"134","1","607"
"0","1","608"
"135","1","609"
"135","1","610"
"0","1","611"
"0","1","612"
"1","1","613"
"0","1","614"
"0","1","615"
"0","1","616"
"0","1","617"
"0","1","618"
"0","1","619"
"0","1","620"
"0","1","621"
"0","1","622"
"0","1","623"
"0","1","624"
"0","1","625"
"0","1","626"
"0","1","627"
"0","1","628"
"0","1","629"
"22","1","630"
"0","1","631"
"0","1","632"
"21","1","633"
"22","1","634"
"0","1","635"
"0","1","636"
"0","1","637"
"0","1","638"
"0","1","639"
"0","1","640"
"0","1","641"
"35","1","642"
"0","1","643"
"0","1","644"
"0","1","645"
"0","1","646"
"0","1","647"
"0","1","648"
"0","1","649"
"0","1","650"
"0","1","651"
"0","1","652"
"0","1","653"
"0","1","654"
"0","1","655"
"0","1","656"
"0","1","657"
"0","1","658"
"0","1","659"
"0","1","660"
"3","1","661"
"0","1","662"
"0","1","663"
"0","1","664"
"1","1","665"
"0","1","666"
"0","1","667"
"0","1","668"
"0","1","669"
"0","1","670"
"0","1","671"
"0","1","672"
"0","1","673"
"0","1","674"
"0","1","676"
"0","1","677"
"0","1","678"
"0","1","679"
"65","1","680"
"0","1","681"
"0","1","682"
"0","1","683"
"0","1","684"
"0","1","685"
"0","1","686"
"0","1","687"
"19","1","688"
"0","1","689"
"0","1","690"
"0","1","691"
"1","1","692"
"28","1","693"
"0","1","694"
"0","1","695"
"0","1","696"
"0","1","697"
"0","1","698"
"0","1","699"
"0","1","700"
"0","1","701"
"1","1","702"
"6","1","703"
"0","1","704"
"0","1","705"
"0","1","706"
"1","1","707"
"0","1","708"
"24","1","709"
"0","1","710"
"0","1","711"
"0","1","712"
"0","1","713"
"0","1","714"
"0","1","715"
"0","1","716"
"0","1","717"
"0","1","718"
"0","1","719"
"0","1","720"
"118","1","721"
"70","1","722"
"49","1","723"
"47","1","724"
"47","1","725"
"47","1","726"
"2","1","727"
"0","1","728"
"0","1","729"
"0","1","730"
"0","1","731"
"0","1","732"
"0","1","733"
"0","1","734"
"0","1","735"
"283","1","736"
"25","1","737"
"0","1","738"
"0","1","739"
"6","1","740"
"0","1","741"
"0","1","742"
"0","1","743"
"0","1","744"
"0","1","745"
"0","1","746"
"0","1","747"
"0","1","748"
"0","1","749"
"0","1","750"
"0","1","751"
"0","1","752"
"130","1","753"
"29","1","754"
"0","1","755"
"0","1","756"
"0","1","757"
"0","1","758"
"0","1","759"
"237","1","760"
