PScore_6052,Weight_6052,MatchId,Id,锘縄D,text,patchSetNum,changeId,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,Overall,Text
0.245122362,1,7384,1,1,,3,126,2016/10/14 2:29,2016/11/16 6:16,795,2,1,3,1,1,3,0,
0.347659964,1,6423,2,2,,2,126,2016/10/14 2:29,2016/10/16 12:07,57,2,1,3,2,4,3,1,
0.448286245,1,6599,3,3,,3,154,2016/11/9 16:53,2016/11/11 10:16,41,2,2,12,4,5,3,1,
0.405784778,1,6801,4,4,,1,159,2016/11/14 6:38,2016/11/15 4:35,21,2,4,31,3,5,1,1,
0.248927494,1,6803,5,5,,5,172,2016/11/11 20:29,2016/11/14 13:06,64,2,3,16,1,1,5,1,
0.51011132,1,7,6,6,,4,172,2016/11/11 20:29,2016/11/12 10:35,14,2,3,16,4,7,5,1,
0.51011132,1,6,7,7,,4,172,2016/11/11 20:29,2016/11/12 10:35,14,2,3,16,4,7,5,0,
0.395467096,1,12539,8,8,,6,222,2016/10/20 20:44,2016/11/10 17:58,501,2,5,87,3,4,8,0,
0.395431367,1,12540,9,9,,3,222,2016/10/20 20:44,2016/10/27 7:58,155,2,4,58,3,4,8,0,
0.455762243,1,12834,10,10,,6,223,2016/11/11 20:11,2016/11/12 7:00,10,2,1,9,4,5,6,0,
0.304331392,1,301,11,11,,3,223,2016/11/11 14:25,2016/11/11 14:45,0,2,1,2,2,2,6,1,
0.417925538,1,13031,12,12,,5,223,2016/11/11 20:11,2016/11/11 20:26,0,2,1,6,3,5,6,0,
0.445853878,1,13807,13,13,,4,223,2016/11/11 20:11,2016/11/11 20:11,0,2,1,4,3,6,6,0,
0.328989973,1,7409,14,14,,3,237,2016/11/6 4:28,2016/11/6 10:16,5,2,2,21,2,3,6,0,
0.378664308,1,12799,15,15,,1,241,2016/11/10 21:27,2016/11/10 21:27,0,2,4,88,3,4,1,0,
0.471672442,1,2436,16,16,,1,263,2016/11/3 22:11,2016/11/10 21:25,167,2,5,160,4,6,1,0,
0.809757438,1,18,17,17,,3,278,2016/4/15 16:13,2016/8/5 7:31,2679,2,12,578,5,18,5,0,
0.809757438,1,17,18,18,,3,278,2016/4/15 16:13,2016/8/5 7:31,2679,2,12,578,5,18,5,1,
0.809757438,1,25,19,19,,3,278,2016/4/15 16:13,2016/8/5 7:31,2679,2,12,578,5,18,5,0,
0.809757438,1,26,20,20,,3,278,2016/4/15 16:13,2016/8/5 7:31,2679,2,12,578,5,18,5,0,
0.809757438,1,28,21,21,,3,278,2016/4/15 16:13,2016/8/5 7:31,2679,2,12,578,5,18,5,0,
0.809757438,0,,22,22,,3,278,2016/4/15 16:13,2016/8/5 7:31,2679,2,12,578,5,18,5,0,
